"Mass_fraction_of_co2","Mass_fraction_of_h2o","Points:0","Points:1","Points:2","Temperature","Velocity:0","Velocity:1","Velocity:2"
0.00016844,0.0017911,-0.27725,2.1144,0.0026179,295.59,-0.0019717,0.009206,-0.0017804
0.00022578,0.0016573,0.32766,2.3027,-0.049066,295.65,0.0081208,0.026215,0.0085525
0.00019983,0.0017413,-0.054705,2.3462,-0.061214,295.73,0.00063616,0.010208,-0.005665
0.00016601,0.0018115,-0.35426,2.1138,0.018559,295.6,-0.0020649,0.0088937,-0.0026
0.0001609,0.0018356,-0.46114,2.0768,0.041947,295.59,-0.00169,0.0085141,-0.0025911
0.00016078,0.0018331,-0.49926,2.0766,0.013987,295.6,-0.0020767,0.0086974,-0.0029816
0.00015129,0.0018178,-0.80483,1.9537,-0.074975,295.55,0.00061521,0.0040633,-0.001336
0.00015057,0.0018388,-0.71661,1.9539,0.008159,295.54,0.0006678,0.0059818,-0.00032699
0.00014824,0.0018313,-0.67215,1.9166,0.024198,295.51,0.00099472,0.0075244,0.0006091
0.00016227,0.0018225,-0.57046,2.0958,-0.060924,295.61,-0.0033634,0.0089866,-0.0045891
0.00015771,0.0018416,-0.66319,2.0527,-0.022122,295.6,-0.0013241,0.0069614,-0.0034422
0.00016104,0.0018416,-0.63475,2.0981,-0.033894,295.62,-0.0024464,0.0074805,-0.0047266
0.00016508,0.0018287,-0.47629,2.1297,-0.0087189,295.63,-0.0030883,0.0088331,-0.0041161
0.00013009,0.0017799,-0.90459,1.6487,0.027332,295.36,0.0016352,0.0075975,0.0066963
0.00013535,0.001787,-0.95358,1.7223,-0.022395,295.46,0.00088544,0.002553,0.0058852
0.00013183,0.0017815,-0.95399,1.6736,0.0053849,295.42,0.00097676,0.0047006,0.0068446
0.00014081,0.0018002,-0.88204,1.7999,-0.036305,295.47,0.0016134,0.0032935,0.0035872
0.00014413,0.0018234,-0.80497,1.8582,0.0092586,295.49,0.001812,0.0045981,0.0025694
0.00013106,0.0017926,-0.78051,1.6675,0.079361,295.35,0.0025895,0.010413,0.0060133
0.00014694,0.00183,-0.72369,1.8993,0.016549,295.5,0.0013927,0.0065214,0.0011567
0.00014714,0.0018202,-0.81606,1.897,-0.03189,295.51,0.0013948,0.0038276,0.0010025
0.00017557,0.0017873,-0.24123,2.192,-0.0063128,295.64,-0.0022378,0.008851,-0.002911
0.00022943,0.0016886,0.19927,2.3929,-0.061328,295.74,0.0087488,0.01299,-0.009909
0.00021344,0.0017193,0.073294,2.3879,-0.031395,295.75,0.0043914,0.0090012,-0.007962
0.00016916,0.0017998,-0.30817,2.136,0.0034506,295.61,-0.0022778,0.009012,-0.0025959
0.00017276,0.0018045,-0.34542,2.1926,-0.025385,295.66,-0.003354,0.0091768,-0.0041316
0.00016896,0.0018079,-0.36322,2.1492,-0.013312,295.63,-0.0030262,0.0091895,-0.0034688
0.00017517,0.0017934,-0.29859,2.2048,-0.033819,295.66,-0.00319,0.0093094,-0.0037952
0.00014843,0.001834,-0.77106,1.9226,0.0013866,295.52,0.0012462,0.0047186,0.00070231
0.00015409,0.0018412,-0.73414,2.004,-0.019951,295.57,-7.469e-05,0.0053244,-0.002156
0.00015016,0.0018497,-0.64624,1.9541,0.063509,295.53,0.00073785,0.0070792,0.00043396
0.00016429,0.0018275,-0.54519,2.1246,-0.046335,295.63,-0.0036457,0.0089186,-0.004888
0.00015402,0.0018452,-0.68116,2.004,0.0070302,295.57,-0.00021003,0.0064682,-0.0017432
0.00015399,0.0018483,-0.62828,2.004,0.034498,295.56,-0.00024722,0.0071901,-0.0013616
0.00015756,0.001853,-0.59289,2.0538,0.033961,295.59,-0.0012612,0.007364,-0.00254
0.00015925,0.001854,-0.54675,2.0748,0.048362,295.6,-0.0015676,0.007626,-0.0028102
0.00016669,0.0018279,-0.51918,2.1562,-0.044094,295.65,-0.0039603,0.0089332,-0.0053162
0.0001692,0.0018162,-0.45607,2.1729,-0.051158,295.65,-0.004206,0.0093401,-0.0049891
0.00016269,0.0018381,-0.53024,2.1086,-0.0018117,295.62,-0.0027172,0.0084657,-0.0040474
0.00012568,0.0017737,-0.88414,1.5869,0.075427,295.31,0.0018409,0.010856,0.0075494
0.00013463,0.0017775,-1,1.706,-0.05095,296.58,0,0,0
0.00012813,0.0017572,-1,1.6104,-0.051603,296.46,0,0,0
0.00013101,0.0017722,-1,1.6577,-0.022993,296.5,0,0,0
