Mass_fraction_of_co2,Mass_fraction_of_h2o,Points:0,Points:1,Points:2,Temperature,Velocity:0,Velocity:1,Velocity:2
0.0002919,0.0015235,0.57183,2.251,-0.48301,295.67,0.061882,0.01125,-0.056951
0.00029306,0.001456,0.54571,2.2522,-0.8701,295.78,-0.11763,-0.082441,0.013588
0.00022146,0.0011122,0.62306,2.2137,-1,296,0,0,0
0.00027322,0.0013222,0.62446,2.2477,-0.95709,295.82,-0.44789,0.055131,0.053375
0.00030135,0.0015366,0.5768,2.2692,-0.53965,295.71,0.067875,-0.027818,-0.078706
0.00030345,0.0015487,0.55558,2.301,-0.57703,295.73,0.077665,-0.027561,-0.087505
0.00030922,0.0015188,0.58245,2.2687,-0.80422,295.79,0.022167,-0.12438,-0.04046
0.00025214,0.0012575,0.53651,2.2696,-1,296,0,0,0
0.00027227,0.0013293,0.60008,2.2715,-1,296,0,0,0
0.00028561,0.0014069,0.56213,2.2735,-0.93885,295.81,-0.26373,-0.020933,0.043114
0.00029658,0.0015508,0.54411,2.2996,-0.50608,295.71,0.078721,0.010471,-0.08003
0.00030429,0.0014859,0.60085,2.295,-0.95242,295.85,-0.056844,-0.099239,0.030622
0.00031265,0.0015487,0.58467,2.2986,-0.65064,295.77,0.072245,-0.077937,-0.089139
0.00030948,0.0015442,0.56285,2.3053,-0.70001,295.77,0.071057,-0.077728,-0.082047
0.00030608,0.0015546,0.54038,2.3279,-0.63878,295.76,0.082765,-0.038564,-0.090317
0.00030577,0.0015123,0.56742,2.3157,-0.91465,295.83,0.011719,-0.11438,0.0011424
0.00031045,0.0015191,0.58757,2.294,-0.87064,295.82,0.023652,-0.13051,-0.016234
0.00030827,0.0015298,0.56853,2.2804,-0.75056,295.78,0.046146,-0.10132,-0.063056
0.00031371,0.0015422,0.57778,2.3272,-0.82949,295.82,0.069407,-0.11541,-0.050216
0.0002949,0.0014755,0.5531,2.322,-1,296,0,0,0
0.00030794,0.0015316,0.57526,2.3414,-0.9554,295.85,0.058155,-0.13046,0.0012947
0.00031624,0.0015334,0.61613,2.3157,-0.91075,295.85,0.053698,-0.14084,-0.0032397
0.0003102,0.0015329,0.60636,2.3341,-1,296,0,0,0
0.00032126,0.0015634,0.59745,2.3409,-0.68775,295.8,0.08373,-0.091151,-0.094283
0.00031535,0.0015551,0.57244,2.338,-0.7334,295.8,0.083182,-0.087854,-0.082627
0.0003127,0.0015399,0.57619,2.3384,-0.8741,295.83,0.069094,-0.11773,-0.033323
0.00031918,0.0015559,0.59121,2.3433,-0.78175,295.82,0.083461,-0.11029,-0.07222
0.00031947,0.0015464,0.63908,2.3318,-0.95085,295.87,0.090884,-0.14757,0.003449
0.00031969,0.0015555,0.60713,2.3622,-0.8985,295.85,0.096491,-0.13305,-0.030792
0.00030947,0.001552,0.53542,2.3872,-0.85833,295.83,0.093899,-0.086017,-0.048309
0.00031944,0.0015631,0.57787,2.3855,-0.8164,295.84,0.098446,-0.099257,-0.066147
0.0003177,0.0015714,0.5643,2.3706,-0.6465,295.8,0.091431,-0.054335,-0.09751
0.00030611,0.0015462,0.56632,2.3683,-1,296,0,0,0
0.00031367,0.0015544,0.56951,2.3854,-0.90673,295.85,0.099831,-0.1149,-0.031186
0.00032663,0.0015608,0.63498,2.3511,-0.84494,295.85,0.09255,-0.14113,-0.056723
0.00032382,0.0015715,0.58906,2.3804,-0.71903,295.82,0.094476,-0.084916,-0.092887
0.00032274,0.0015702,0.58357,2.3899,-0.75886,295.83,0.097912,-0.089112,-0.0849
0.00031851,0.0015845,0.55607,2.3938,-0.55371,295.79,0.089664,-0.022681,-0.098996
0.00032163,0.0015838,0.55054,2.418,-0.64261,295.82,0.096275,-0.041832,-0.096744
0.00032083,0.0015763,0.56102,2.4005,-0.68588,295.82,0.097077,-0.058927,-0.094952
0.0003153,0.0015657,0.60694,2.3922,-1,296,0,0,0
0.00032485,0.0015704,0.64004,2.3913,-0.95099,295.88,0.12831,-0.15356,-0.020238
0.00031244,0.0015577,0.57522,2.3929,-0.9507,295.86,0.11271,-0.13507,-0.015931
0.00032274,0.0015698,0.60824,2.41,-0.91594,295.87,0.12261,-0.12875,-0.035328
0.00032582,0.0015702,0.61245,2.4025,-0.86198,295.86,0.11264,-0.11938,-0.056587
0.000306,0.0015595,0.55241,2.4181,-1,296,0,0,0
0.00031736,0.0015675,0.56622,2.4232,-0.88253,295.86,0.11684,-0.10014,-0.047524
0.00031997,0.0015725,0.56267,2.4311,-0.83254,295.86,0.1129,-0.085847,-0.064458
0.00033031,0.001571,0.63043,2.3769,-0.78945,295.85,0.096335,-0.12241,-0.08203
0.0003245,0.0015777,0.57422,2.4279,-0.7721,295.85,0.10764,-0.077963,-0.082895
0.00031651,0.0015728,0.58011,2.4446,-0.95317,295.88,0.13354,-0.12341,-0.02263
0.00032554,0.0015782,0.57987,2.4172,-0.74084,295.84,0.10294,-0.075915,-0.089832
0.00031753,0.0015746,0.56084,2.4614,-0.91193,295.88,0.12992,-0.097586,-0.039216
0.0003316,0.0015811,0.6072,2.4238,-0.75795,295.86,0.10492,-0.091941,-0.090298
0.00033518,0.0015833,0.62869,2.4394,-0.81296,295.87,0.11476,-0.10623,-0.080237
0.000328,0.0015848,0.5731,2.4494,-0.74158,295.86,0.10807,-0.067792,-0.08891
0.00031735,0.0015773,0.60241,2.4491,-1,296,0,0,0
0.00032933,0.0015815,0.64709,2.4393,-0.95296,295.9,0.14396,-0.14387,-0.026463
