"Mass_fraction_of_co2","Mass_fraction_of_h2o","Points:0","Points:1","Points:2","Temperature","Velocity:0","Velocity:1","Velocity:2"
9.0558e-05,0.0011417,0.94188,0.9733,0.8256,295.18,-0.082547,-1.6562,-0.22334
8.5427e-05,0.001039,0.9577,1.0068,0.78987,295.03,-0.05229,-1.9766,-0.34436
9.8943e-05,0.0012124,0.95741,1.0529,0.69172,295.08,-0.027385,-1.4184,-0.32256
0.00010701,0.0013948,0.92728,1.0534,0.662,295.14,-0.030822,-0.89278,-0.18891
0.00010704,0.0016304,1,1.0336,0.4719,296.34,0,0,0
9.5485e-05,0.0012349,0.92056,0.99255,0.83037,295.19,-0.05727,-1.4225,-0.19042
0.00011107,0.0015859,0.95267,1.0557,0.56366,295.21,-0.005861,-0.26806,-0.022814
0.00010496,0.0013233,0.96775,1.0407,0.6501,295.16,-0.01639,-1.0558,-0.25944
0.00011084,0.0014876,0.95481,1.0649,0.61225,295.21,-0.011595,-0.57331,-0.1243
0.00010496,0.0016304,0.92593,1.048,0.41485,295.06,0.0013652,-0.047135,0.047516
0.00010372,0.0014273,0.95757,0.931,0.95757,326.54,0,0,0
8.5896e-05,0.0014867,0.94584,0.79863,0.08219,294.69,0,0,0
9.7354e-05,0.0015913,0.89882,0.97669,0.242,294.91,0.011871,0.030432,0.030558
9.3802e-05,0.0015667,0.88328,0.94201,0.16048,294.84,0.021442,0.060787,0.015826
0.00010126,0.0016149,0.90487,1.0251,0.32103,294.98,0.006773,-0.0015196,0.042786
0.00010316,0.001624,0.91914,1.0455,0.3607,295.02,0.004486,-0.019486,0.048171
8.3207e-05,0.0010154,0.96815,0.98517,0.82149,295.11,-0.056724,-2.007,-0.28791
9.6863e-05,0.0011977,0.93526,1.0362,0.73018,295.05,-0.049456,-1.5095,-0.31253
0.00011022,0.001612,1,1.0476,0.52808,296.35,0,0,0
0.00010632,0.0016317,0.96343,1.0463,0.4514,295.15,-0.0014542,-0.072392,0.049567
0.000108,0.0016314,0.94774,1.0545,0.49145,295.14,-0.0022643,-0.10345,0.035698
0.00011026,0.0015457,0.89697,1.0552,0.6181,295.15,-0.015048,-0.44399,-0.068124
0.0001091,0.0016275,0.90583,1.065,0.5299,295.12,-0.0011657,-0.14582,0.017224
0.0001039,0.0016253,0.96445,1.0455,0.38488,295.1,0.0010651,-0.034573,0.058269
9.9253e-05,0.0013322,0.94255,0.94198,0.90704,296.1,-0.11551,-0.95055,-0.005581
0.00010529,0.001486,0.92852,0.93913,0.94553,298,-0.089454,-0.48739,0.027049
0.00010708,0.0015379,0.93565,0.931,0.97949,321.54,0,0,0
0.00010223,0.0013904,0.95333,0.94779,0.93313,298.19,-0.070816,-0.73799,0.023066
9.5337e-05,0.0015742,1,0.9462,0.22722,296.2,0,0,0
9.5282e-05,0.0015752,0.94993,0.96383,0.19756,294.91,0.010567,0.040121,0.035382
9.796e-05,0.0015924,1,0.99811,0.25931,296.22,0,0,0
9.9853e-05,0.001605,0.9501,1.0148,0.29047,295,0.0051119,0.0071903,0.049935
9.3731e-05,0.0012107,0.94777,0.97087,0.86874,295.44,-0.0633,-1.4088,-0.12695
8.8498e-05,0.001114,0.97674,0.97838,0.88265,295.62,-0.031796,-1.6255,-0.13065
8.273e-05,0.00098867,0.96675,1.0376,0.782,294.98,-0.034087,-2.1409,-0.39127
9.5052e-05,0.0011829,0.92867,1.0255,0.75608,295.05,-0.061899,-1.5847,-0.2917
8.8791e-05,0.0010437,1,1.0569,0.71923,295.57,0,0,0
0.00010441,0.0013253,0.92947,1.0681,0.69014,295.11,-0.025006,-1.1155,-0.22568
0.00010523,0.0016294,1,1.0501,0.41714,296.31,0,0,0
0.00011259,0.0015545,1,1.0832,0.57795,296.25,0,0,0
0.00011052,0.0016292,0.95298,1.0905,0.52679,295.19,-0.0018592,-0.13517,0.029367
